nm,amplitud
438.127,0.0113431
438.398,0.0100928
438.669,0.010685
438.94,0.010685
439.212,0.010685
439.483,0.00946764
439.754,0.00920442
440.026,0.00950054
440.297,0.00950054
440.568,0.00950054
440.84,0.00874379
441.111,0.0100599
441.382,0.0102244
441.654,0.0104547
441.925,0.0107179
442.196,0.0111786
442.467,0.00992827
442.739,0.00989537
443.01,0.0103889
443.281,0.0101586
443.553,0.0109153
443.824,0.0111127
444.095,0.0108824
444.366,0.0106521
444.638,0.0100928
444.909,0.0103231
445.18,0.0120669
445.452,0.0115734
445.723,0.0112444
445.994,0.0114747
446.266,0.0114418
446.537,0.0116721
446.808,0.0120011
447.079,0.0115076
447.351,0.0110798
447.622,0.0116063
447.893,0.0113431
448.165,0.0113102
448.436,0.0112115
448.707,0.0114418
448.979,0.0112773
449.25,0.0110798
449.521,0.0110469
449.792,0.0118695
450.064,0.012363
