400.958;0.0691523;;0,000400958
402.315;0.072969;;0,000402315
403.671;0.0766869;;0,000403671
405.028;0.0802733;;0,000405028
406.385;0.0848796;;0,000406385
407.741;0.0893543;;0,000407741
409.097;0.0934671;;0,000409097
410.454;0.0983695;;0,000410454
413.167;0.107418;;0,000413167
414.523;0.111662;;0,000414523
417.236;0.12071;;0,000417236
418.593;0.125678;;0,000418593
421.306;0.133345;;0,000421306
422.662;0.137819;;0,000422662
424.019;0.141735;;0,000424019
425.375;0.146242;;0,000425375
426.732;0.151046;;0,000426732
428.088;0.155192;;0,000428088
429.445;0.159304;;0,000429445
430.801;0.16322;;0,000430801
432.158;0.166872;;0,000432158
433.514;0.170162;;0,000433514
434.871;0.174538;;0,000434871
436.227;0.177664;;0,000436227
437.584;0.18125;;0,000437584
440.297;0.187271;;0,000440297
441.654;0.191088;;0,000441654
444.366;0.198425;;0,000444366
445.723;0.202439;;0,000445723
447.079;0.206651;;0,000447079
448.436;0.209941;;0,000448436
449.792;0.214449;;0,000449792
451.149;0.218825;;0,000451149
452.505;0.223464;;0,000452505
453.862;0.228202;;0,000453862
455.219;0.232973;;0,000455219
456.575;0.238467;;0,000456575
457.931;0.244357;;0,000457931
459.288;0.249555;;0,000459288
460.644;0.255576;;0,000460644
462.001;0.262124;;0,000462001
463.357;0.268704;;0,000463357
464.714;0.274857;;0,000464714
467.427;0.289071;;0,000467427
468.784;0.296441;;0,000468784
471.496;0.30901;;0,000471496
472.853;0.315393;;0,000472853
474.209;0.321611;;0,000474209
475.566;0.32783;;0,000475566
476.922;0.332568;;0,000476922
478.279;0.338358;;0,000478279
479.635;0.342636;;0,000479635
480.992;0.346781;;0,000480992
482.349;0.350368;;0,000482349
483.705;0.354283;;0,000483705
485.061;0.357804;;0,000485061
486.418;0.361752;;0,000486418
487.774;0.36524;;0,000487774
489.131;0.368234;;0,000489131
490.487;0.371557;;0,000490487
491.844;0.373959;;0,000491844
494.557;0.378993;;0,000494557
495.913;0.382349;;0,000495913
498.626;0.387218;;0,000498626
499.983;0.389554;;0,000499983
501.339;0.391561;;0,000501339
502.696;0.393404;;0,000502696
504.052;0.396201;;0,000504052
505.409;0.399129;;0,000505409
506.765;0.401268;;0,000506765
508.122;0.404492;;0,000508122
509.478;0.406038;;0,000509478
510.835;0.408868;;0,000510835
512.191;0.411467;;0,000512191
513.548;0.413902;;0,000513548
514.904;0.416797;;0,000514904
516.261;0.419759;;0,000516261
517.617;0.42272;;0,000517617
518.974;0.425418;;0,000518974
520.331;0.428807;;0,000520331
521.687;0.43157;;0,000521687
523.043;0.435058;;0,000523043
525.756;0.440849;;0,000525756
527.113;0.44381;;0,000527113
528.469;0.446673;;0,000528469
529.826;0.449502;;0,000529826
531.182;0.451509;;0,000531182
532.539;0.453648;;0,000532539
533.895;0.455918;;0,000533895
535.252;0.458156;;0,000535252
536.609;0.460623;;0,000536609
537.965;0.462959;;0,000537965
539.322;0.465657;;0,000539322
540.678;0.468256;;0,000540678
542.034;0.470658;;0,000542034
543.391;0.473817;;0,000543391
544.747;0.477173;;0,000544747
546.104;0.480759;;0,000546104
548.817;0.487044;;0,000548817
550.173;0.490268;;0,000550173
552.887;0.496717;;0,000552887
554.243;0.499711;;0,000554243
556.956;0.505239;;0,000556956
558.312;0.508068;;0,000558312
559.669;0.510602;;0,000559669
561.025;0.513826;;0,000561025
562.382;0.516721;;0,000562382
563.738;0.518729;;0,000563738
565.095;0.520867;;0,000565095
566.451;0.523499;;0,000566451
567.808;0.525737;;0,000567808
569.164;0.527908;;0,000569164
570.521;0.530869;;0,000570521
571.878;0.53314;;0,000571878
573.234;0.534982;;0,000573234
574.591;0.536693;;0,000574591
575.947;0.538601;;0,000575947
577.303;0.541003;;0,000577303
580.016;0.54482;;0,000580016
581.373;0.546794;;0,000581373
582.729;0.548275;;0,000582729
584.086;0.54969;;0,000584086
585.442;0.551104;;0,000585442
586.799;0.55321;;0,000586799
588.156;0.554987;;0,000588156
589.512;0.557158;;0,000589512
590.869;0.5591;;0,000590869
592.225;0.560712;;0,000592225
593.582;0.562127;;0,000593582
594.938;0.563903;;0,000594938
596.294;0.566338;;0,000596294
597.651;0.56749;;0,000597651
599.007;0.568839;;0,000599007
600.364;0.56976;;0,000600364
603.077;0.571142;;0,000603077
604.433;0.572293;;0,000604433
607.147;0.574926;;0,000607147
608.503;0.576077;;0,000608503
611.216;0.578282;;0,000611216
612.572;0.579663;;0,000612572
613.929;0.580618;;0,000613929
615.285;0.581736;;0,000615285
616.642;0.582394;;0,000616642
617.998;0.582427;;0,000617998
619.355;0.583052;;0,000619355
620.711;0.583908;;0,000620711
622.068;0.58427;;0,000622068
623.425;0.584401;;0,000623425
624.781;0.584862;;0,000624781
626.138;0.585356;;0,000626138
627.494;0.586408;;0,000627494
628.851;0.587264;;0,000628851
630.207;0.587955;;0,000630207
631.563;0.588613;;0,000631563
634.276;0.589238;;0,000634276
635.633;0.589896;;0,000635633
636.989;0.590587;;0,000636989
638.346;0.59085;;0,000638346
639.702;0.590686;;0,000639702
641.059;0.591278;;0,000641059
642.416;0.591278;;0,000642416
643.772;0.591903;;0,000643772
645.129;0.59266;;0,000645129
646.485;0.593515;;0,000646485
647.841;0.595292;;0,000647841
649.198;0.597036;;0,000649198
650.554;0.599339;;0,000650554
651.911;0.601478;;0,000651911
653.267;0.603847;;0,000653267
654.624;0.605196;;0,000654624
657.337;0.608815;;0,000657337
658.693;0.610295;;0,000658693
661.407;0.611151;;0,000661407
662.763;0.610131;;0,000662763
